Prefecture,Sub-Pref,Municipality-Large,Municipality-Small,num_ref,num_points
佐賀県,,,嬉野市,41209,0
佐賀県,,三養基郡,みやき町,41346,0
佐賀県,,東松浦郡,玄海町,41387,0
佐賀県,,杵島郡,大町町,41423,0
佐賀県,,杵島郡,江北町,41424,0
佐賀県,,杵島郡,白石町,41425,0
長崎県,,,島原市,42203,0
長崎県,,,大村市,42205,0
長崎県,,,雲仙市,42213,0
熊本県,,,水俣市,43205,0
熊本県,,,玉名市,43206,0
熊本県,,,上天草市,43212,0
熊本県,,,阿蘇市,43214,0
熊本県,,,天草市,43215,0
熊本県,,,合志市,43216,0
熊本県,,下益城郡,美里町,43348,0
熊本県,,玉名郡,玉東町,43364,0
熊本県,,玉名郡,南関町,43367,0
熊本県,,玉名郡,長洲町,43368,0
熊本県,,玉名郡,和水町,43369,0
熊本県,,阿蘇郡,小国町,43424,0
熊本県,,阿蘇郡,産山村,43425,0
熊本県,,阿蘇郡,高森町,43428,0
熊本県,,上益城郡,山都町,43447,0
熊本県,,八代郡,氷川町,43468,0
熊本県,,球磨郡,山江村,43512,0
熊本県,,球磨郡,あさぎり町,43514,0
熊本県,,天草郡,苓北町,43531,0
大分県,,,竹田市,44208,0
大分県,,,杵築市,44210,0
大分県,,,宇佐市,44211,0
大分県,,,豊後大野市,44212,0
大分県,,東国東郡,姫島村,44322,0
大分県,,速見郡,日出町,44341,0
大分県,,玖珠郡,玖珠町,44462,0
宮崎県,,,串間市,45207,0
宮崎県,,北諸県郡,三股町,45341,0
宮崎県,,西諸県郡,高原町,45361,0
宮崎県,,東諸県郡,国富町,45382,0
宮崎県,,東諸県郡,綾町,45383,0
宮崎県,,児湯郡,都農町,45406,0
宮崎県,,東臼杵郡,門川町,45421,0
宮崎県,,東臼杵郡,美郷町,45431,0
宮崎県,,西臼杵郡,日之影町,45442,0
鹿児島県,,,出水市,46208,0
鹿児島県,,,指宿市,46210,0
鹿児島県,,,垂水市,46214,0
鹿児島県,,,曽於市,46217,0
鹿児島県,,,いちき串木野市,46219,0
鹿児島県,,,伊佐市,46224,0
鹿児島県,,,姶良市,46225,0
鹿児島県,,薩摩郡,さつま町,46392,0
鹿児島県,,出水郡,長島町,46404,0
愛知県,,,所属未定地,,0
福岡県,,,所属未定地,,0
鹿児島県,,,所属未定地,,0
沖縄県,,,所属未定地,,0
千葉県,,,所属未定地,,0
和歌山県,,,所属未定地,,0
北海道,石狩振興局,札幌市,南区,01106,1
北海道,石狩振興局,,千歳市,01224,1
北海道,空知総合振興局,,滝川市,01225,1
北海道,後志総合振興局,寿都郡,黒松内町,01393,1
北海道,後志総合振興局,虻田郡,倶知安町,01400,1
北海道,上川総合振興局,上川郡,当麻町,01454,1
