Prefecture,Sub-Pref,Municipality-Large,Municipality-Small,num_ref,num_points
静岡県,,,磐田市,22211,3
静岡県,,賀茂郡,西伊豆町,22306,3
愛知県,,,西尾市,23213,3
滋賀県,,,草津市,25206,3
滋賀県,,,湖南市,25211,3
京都府,,乙訓郡,大山崎町,26303,3
大阪府,,,藤井寺市,27226,3
岡山県,,,瀬戸内市,33212,3
徳島県,,,三好市,36208,3
熊本県,,,宇城市,43213,3
熊本県,,上益城郡,甲佐町,43444,3
大分県,,玖珠郡,九重町,44461,3
宮崎県,,,日南市,45204,3
沖縄県,,国頭郡,金武町,47314,3
沖縄県,,島尻郡,渡嘉敷村,47353,3
沖縄県,,島尻郡,渡名喜村,47356,3
沖縄県,,島尻郡,北大東村,47358,3
沖縄県,,宮古郡,多良間村,47375,3
沖縄県,,八重山郡,与那国町,47382,3
北海道,上川総合振興局,上川郡,東神楽町,01453,4
北海道,上川総合振興局,上川郡,東川町,01458,4
北海道,根室振興局,国後郡,泊村,01696,4
岩手県,,九戸郡,野田村,03503,4
福島県,,双葉郡,川内村,07544,4
茨城県,,,牛久市,08219,4
栃木県,,河内郡,上三川町,09301,4
群馬県,,邑楽郡,板倉町,10521,4
千葉県,,,旭市,12215,4
千葉県,,印旛郡,酒々井町,12322,4
東京都,,八丈支庁,青ヶ島村,13402,4
神奈川県,,,茅ヶ崎市,14207,4
新潟県,,,阿賀野市,15223,4
富山県,,,小矢部市,16209,4
長野県,,下伊那郡,高森町,20403,4
岐阜県,,安八郡,神戸町,21381,4
岐阜県,,加茂郡,東白川村,21507,4
滋賀県,,,彦根市,25202,4
滋賀県,,,東近江市,25213,4
大阪府,,泉南郡,田尻町,27362,4
島根県,,邑智郡,邑南町,32449,4
島根県,,隠岐郡,知夫村,32527,4
岡山県,,浅口郡,里庄町,33445,4
佐賀県,,三養基郡,上峰町,41345,4
熊本県,,球磨郡,多良木町,43505,4
熊本県,,球磨郡,水上村,43507,4
沖縄県,,国頭郡,宜野座村,47313,4
沖縄県,,島尻郡,与那原町,47348,4
北海道,渡島総合振興局,山越郡,長万部町,01347,5
北海道,檜山振興局,瀬棚郡,今金町,01370,5
岩手県,,気仙郡,住田町,03441,5
宮城県,,,富谷市,04216,5
宮城県,,柴田郡,川崎町,04324,5
宮城県,,本吉郡,南三陸町,04606,5
秋田県,,山本郡,藤里町,05346,5
福島県,,西白河郡,泉崎村,07464,5
福島県,,双葉郡,葛尾村,07548,5
栃木県,,,足利市,09202,5
群馬県,,,藤岡市,10209,5
埼玉県,,さいたま市,西区,11101,5
埼玉県,,比企郡,滑川町,11341,5
千葉県,,,佐倉市,12212,5
東京都,,,小平市,13211,5
山梨県,,南巨摩郡,早川町,19364,5
長野県,,,駒ヶ根市,20210,5
長野県,,,塩尻市,20215,5
長野県,,木曽郡,木曽町,20432,5
長野県,,上高井郡,高山村,20543,5
長野県,,上水内郡,小川村,20588,5
静岡県,,榛原郡,吉田町,22424,5
愛知県,,名古屋市,昭和区,23107,5
三重県,,員弁郡,東員町,24324,5
滋賀県,,,野洲市,25210,5
奈良県,,,橿原市,29205,5
和歌山県,,伊都郡,高野町,30344,5
和歌山県,,東牟婁郡,北山村,30427,5
山口県,,,美祢市,35213,5
徳島県,,,吉野川市,36205,5
徳島県,,名西郡,石井町,36341,5
香川県,,仲多度郡,琴平町,37403,5
高知県,,,香南市,39211,5
福岡県,,田川郡,赤村,40609,5
熊本県,,葦北郡,津奈木町,43484,5
鹿児島県,,鹿児島郡,三島村,46303,5
沖縄県,,国頭郡,伊江村,47315,5
沖縄県,,島尻郡,座間味村,47354,5
沖縄県,,島尻郡,粟国村,47355,5
沖縄県,,島尻郡,伊平屋村,47359,5
沖縄県,,島尻郡,伊是名村,47360,5
秋田県,,南秋田郡,大潟村,05368,6
秋田県,,雄勝郡,東成瀬村,05464,6
福島県,,東白川郡,棚倉町,07481,6
福島県,,石川郡,平田村,07503,6
埼玉県,,,坂戸市,11239,6
神奈川県,,,南足柄市,14217,6
神奈川県,,愛甲郡,清川村,14402,6
富山県,,,南砺市,16210,6
富山県,,,射水市,16211,6
山梨県,,西八代郡,市川三郷町,19346,6
長野県,,下伊那郡,松川町,20402,6
長野県,,北安曇郡,池田町,20481,6
静岡県,,静岡市,駿河区,22102,6
静岡県,,賀茂郡,松崎町,22305,6
大阪府,,堺市,北区,27146,6
大阪府,,,羽曳野市,27222,6
大阪府,,,大阪狭山市,27231,6
大阪府,,泉南郡,岬町,27366,6
兵庫県,,加古郡,稲美町,28381,6
奈良県,,磯城郡,川西町,29361,6
奈良県,,吉野郡,上北山村,29451,6
宮崎県,,児湯郡,高鍋町,45401,6
宮崎県,,児湯郡,木城町,45404,6
宮崎県,,西臼杵郡,五ヶ瀬町,45443,6
鹿児島県,,熊毛郡,南種子町,46502,6
鹿児島県,,大島郡,与論町,46535,6
沖縄県,,国頭郡,東村,47303,6
沖縄県,,島尻郡,南大東村,47357,6
東京都,,,所属未定地,,6
北海道,空知総合振興局,,歌志内市,01227,7
北海道,オホーツク総合振興局,紋別郡,興部町,01561,7
青森県,,東津軽郡,蓬田村,02304,7
岩手県,,岩手郡,葛巻町,03302,7
山形県,,最上郡,大蔵村,06365,7
福島県,,,郡山市,07203,7
茨城県,,,古河市,08204,7
茨城県,,,那珂市,08226,7
埼玉県,,,飯能市,11209,7
埼玉県,,秩父郡,東秩父村,11369,7
東京都,,,国分寺市,13214,7
神奈川県,,横浜市,保土ケ谷区,14106,7
神奈川県,,川崎市,高津区,14134,7
山梨県,,,笛吹市,19211,7
長野県,,下伊那郡,根羽村,20410,7
長野県,,北安曇郡,小谷村,20486,7
長野県,,埴科郡,坂城町,20521,7
愛知県,,丹羽郡,扶桑町,23362,7
三重県,,,鳥羽市,24211,7
京都府,,,向日市,26208,7
奈良県,,生駒郡,安堵町,29345,7
奈良県,,磯城郡,三宅町,29362,7
徳島県,,那賀郡,那賀町,36368,7
徳島県,,板野郡,北島町,36402,7
徳島県,,三好郡,東みよし町,36489,7
高知県,,安芸郡,東洋町,39301,7
鹿児島県,,肝属郡,東串良町,46482,7
鹿児島県,,肝属郡,錦江町,46490,7
沖縄県,,中頭郡,嘉手納町,47325,7
北海道,石狩振興局,,石狩市,01235,8
北海道,渡島総合振興局,上磯郡,知内町,01333,8
北海道,檜山振興局,久遠郡,せたな町,01371,8
北海道,空知総合振興局,雨竜郡,妹背牛町,01433,8
北海道,上川総合振興局,空知郡,中富良野町,01461,8
秋田県,,仙北郡,美郷町,05434,8
山形県,,最上郡,舟形町,06363,8
福島県,,東白川郡,矢祭町,07482,8
茨城県,,,つくばみらい市,08235,8
埼玉県,,,川越市,11201,8
埼玉県,,秩父郡,長瀞町,11363,8
千葉県,,,野田市,12208,8
東京都,,,北区,13117,8
富山県,,下新川郡,入善町,16342,8
長野県,,下伊那郡,下條村,20411,8
岐阜県,,,可児市,21214,8
京都府,,相楽郡,和束町,26365,8
和歌山県,,西牟婁郡,上富田町,30404,8
島根県,,隠岐郡,西ノ島町,32526,8
徳島県,,名西郡,神山町,36342,8
香川県,,香川郡,直島町,37364,8
長崎県,,,南島原市,42214,8
熊本県,,,荒尾市,43204,8
熊本県,,球磨郡,相良村,43510,8
鹿児島県,,,南九州市,46223,8
北海道,檜山振興局,檜山郡,厚沢部町,01363,9
北海道,空知総合振興局,雨竜郡,北竜町,01437,9
青森県,,中津軽郡,西目屋村,02343,9
福島県,,,喜多方市,07208,9
栃木県,,下都賀郡,壬生町,09361,9
群馬県,,,前橋市,10201,9
群馬県,,利根郡,川場村,10444,9
群馬県,,利根郡,昭和村,10448,9
群馬県,,邑楽郡,千代田町,10523,9
千葉県,,,我孫子市,12222,9
新潟県,,,糸魚川市,15216,9
岐阜県,,,美濃市,21207,9
静岡県,,,袋井市,22216,9
愛知県,,知多郡,南知多町,23445,9
愛知県,,北設楽郡,豊根村,23563,9
奈良県,,宇陀郡,曽爾村,29385,9
奈良県,,吉野郡,下北山村,29450,9
島根県,,,雲南市,32209,9
広島県,,広島市,西区,34104,9
山口県,,大島郡,周防大島町,35305,9
山口県,,阿武郡,阿武町,35502,9
福岡県,,,福津市,40224,9
佐賀県,,神埼郡,吉野ヶ里町,41327,9
長崎県,,西彼杵郡,時津町,42308,9
鹿児島県,,大島郡,天城町,46531,9
北海道,渡島総合振興局,二海郡,八雲町,01346,10
北海道,留萌振興局,苫前郡,初山別村,01485,10
北海道,オホーツク総合振興局,紋別郡,西興部村,01562,10
青森県,,東津軽郡,今別町,02303,10
青森県,,三戸郡,田子町,02443,10
岩手県,,,陸前高田市,03210,10
宮城県,,宮城郡,松島町,04401,10
